[Tue Jun 22 09:46:20.371702 2021] [core:error] [pid 26:tid 140092748318464] [client 192.168.192.1:56360] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:20.387453 2021] [core:error] [pid 26:tid 140092765103872] [client 192.168.192.1:56322] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:20.399235 2021] [core:error] [pid 26:tid 140092756711168] [client 192.168.192.1:56322] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:20.526404 2021] [core:error] [pid 26:tid 140093285189376] [client 192.168.192.1:56322] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:20.545889 2021] [core:error] [pid 25:tid 140093796882176] [client 192.168.192.1:56380] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:20.550054 2021] [core:error] [pid 26:tid 140092731533056] [client 192.168.192.1:56360] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:20.550163 2021] [core:error] [pid 25:tid 140093310367488] [client 192.168.192.1:56378] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:20.562380 2021] [core:error] [pid 26:tid 140092228232960] [client 192.168.192.1:56322] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:20.562550 2021] [core:error] [pid 26:tid 140092723140352] [client 192.168.192.1:56376] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:20.581232 2021] [core:error] [pid 26:tid 140092236625664] [client 192.168.192.1:56322] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:20.581367 2021] [core:error] [pid 26:tid 140092219840256] [client 192.168.192.1:56360] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:20.603411 2021] [core:error] [pid 26:tid 140093926917888] [client 192.168.192.1:56322] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:20.604136 2021] [core:error] [pid 26:tid 140093847238400] [client 192.168.192.1:56360] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:20.622385 2021] [core:error] [pid 26:tid 140093830452992] [client 192.168.192.1:56360] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:20.622478 2021] [core:error] [pid 26:tid 140093838845696] [client 192.168.192.1:56322] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:20.653729 2021] [core:error] [pid 26:tid 140093796882176] [client 192.168.192.1:56360] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:20.654139 2021] [core:error] [pid 26:tid 140093813667584] [client 192.168.192.1:56364] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:20.655041 2021] [core:error] [pid 26:tid 140093805274880] [client 192.168.192.1:56376] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:20.658657 2021] [core:error] [pid 25:tid 140093301974784] [client 192.168.192.1:56378] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
